,numOfRefs,numOfCorrectlyPredicted,numOfPredicted,precision,recall,f1,test_case,similarity,similarity_threshold,similarity_cutoff,matching_pairing
0,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_similarity,0.5,0.36787944117144233,one-to-one
601,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_context_similarity,0.51,0.2744002430037027,one-to-one
140,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_similarity,0.9000000000000004,0.36787944117144233,many-to-many
141,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_similarity,0.9100000000000004,0.36787944117144233,many-to-many
142,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_similarity,0.9200000000000004,0.36787944117144233,many-to-many
143,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_similarity,0.9300000000000004,0.36787944117144233,many-to-many
144,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_similarity,0.9400000000000004,0.36787944117144233,many-to-many
145,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_similarity,0.9500000000000004,0.36787944117144233,many-to-many
146,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_similarity,0.9600000000000004,0.36787944117144233,many-to-many
147,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_similarity,0.9700000000000004,0.36787944117144233,many-to-many
148,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_similarity,0.9800000000000004,0.36787944117144233,many-to-many
149,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_similarity,0.9900000000000004,0.36787944117144233,many-to-many
1,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_similarity,0.51,0.36787944117144233,one-to-one
602,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd,string_context_similarity,0.52,0.2744002430037027,one-to-one
