,source,target,test_case,sLabel,tLabel,stLabSim,stLabEmbSim,stLabEmbWDSim,sLabelNS,tLabelNS,stLabNSSim,stLabNSEmbSim,stLabNSEmbWDSim,sDRLabel,tDRLabel,stDRLabSim,stDRLabEmbSim,stDRLabEmbWDSim,sDRLabelNS,tDRLabelNS,stDRLabNSSim,stDRLabNSEmbSim,stDRLabNSEmbWDSim
0,http://iasted#done_till,http://sigkdd#City_of_conference,iasted-sigkdd,done till,city of conference,3.059023205018258e-07,0.6316283,0.3468816442527606,done till,city conference,6.14421235332821e-06,0.6994137,0.5377765982295265,deadline done till,conference city of conference,1.026187963170189e-10,0.7485998,0.4387830440691235,deadline done till,conference city conference,2.061153622438558e-09,0.8009853,0.6154011824609371
1,http://iasted#done_till,http://sigkdd#Currency,iasted-sigkdd,done till,currency,0.00012340980408667956,0.65427417,0.5527907376081934,done till,currency,0.00012340980408667956,0.65427417,0.5527907376081934,deadline done till,registration fee currency,2.061153622438558e-09,0.75870687,0.4823544567547603,deadline done till,registration fee currency,2.061153622438558e-09,0.75870687,0.4823544567547603
2,http://iasted#done_till,http://sigkdd#Date,iasted-sigkdd,done till,date,0.0009118819655545162,0.62575424,0.5286945679456719,done till,date,0.0009118819655545162,0.62575424,0.5286945679456719,deadline done till,deadline date,0.0009118819655545162,0.85018766,0.6734603761010685,deadline done till,deadline date,0.0009118819655545162,0.85018766,0.6734603761010685
3,http://iasted#done_till,http://sigkdd#E-mail,iasted-sigkdd,done till,e mail,0.0024787521766663585,0.06730181,0.0056951957800255,done till,e mail,0.0024787521766663585,0.06730181,0.0056951957800255,deadline done till,person e mail,6.14421235332821e-06,0.28636497,0.029474522004148483,deadline done till,person e mail,6.14421235332821e-06,0.28636497,0.029474522004148483
4,http://iasted#done_till,http://sigkdd#End_of_conference,iasted-sigkdd,done till,end of conference,2.2603294069810542e-06,0.662612,0.36826549504844747,done till,end conference,4.5399929762484854e-05,0.7537113,0.5943700365875585,deadline done till,conference end of conference,7.582560427911907e-10,0.77270555,0.4581282142060386,deadline done till,conference end conference,1.522997974471263e-08,0.8397273,0.6578522004742587
5,http://iasted#done_till,http://sigkdd#Name,iasted-sigkdd,done till,name,0.00033546262790251185,0.5632362,0.4758735443441234,done till,name,0.00033546262790251185,0.5632362,0.4758735443441234,deadline done till,person name,8.315287191035679e-07,0.7689312,0.5720023849233025,deadline done till,person name,8.315287191035679e-07,0.7689312,0.5720023849233025
6,http://iasted#done_till,http://sigkdd#Name_of_conference,iasted-sigkdd,done till,name of conference,3.059023205018258e-07,0.64723396,0.3458199835079847,done till,name conference,6.14421235332821e-06,0.70585805,0.532824108150559,deadline done till,conference name of conference,2.7894680928689246e-10,0.76086354,0.43811515642086873,deadline done till,conference name conference,5.602796437537268e-09,0.80799377,0.6116171261239034
7,http://iasted#done_till,http://sigkdd#Name_of_sponsor,iasted-sigkdd,done till,name of sponsor,2.2603294069810542e-06,0.63197076,0.34033936529863856,done till,name sponsor,4.5399929762484854e-05,0.6717575,0.5202079859606744,deadline done till,sponzor name of sponsor,2.061153622438558e-09,0.75568926,0.42126200504600714,deadline done till,sponzor name sponsor,1.522997974471263e-08,0.7994416,0.5884975937497462
8,http://iasted#done_till,http://sigkdd#Nation,iasted-sigkdd,done till,nation,0.0024787521766663585,0.6673013,0.5637972364578747,done till,nation,0.0024787521766663585,0.6673013,0.5637972364578747,deadline done till,person nation,6.14421235332821e-06,0.8016517,0.627059637539488,deadline done till,person nation,6.14421235332821e-06,0.8016517,0.627059637539488
9,http://iasted#done_till,http://sigkdd#Price,iasted-sigkdd,done till,price,0.00033546262790251185,0.61325085,0.5181304875375731,done till,price,0.00033546262790251185,0.61325085,0.5181304875375731,deadline done till,registration fee price,1.1253517471925912e-07,0.7289971,0.47357224156804184,deadline done till,registration fee price,1.1253517471925912e-07,0.7289971,0.47357224156804184
