Track,TestCase,Matcher,Label Left,Comment Left,Type Left,URI Left,Relation,Confidence (Matcher),URI Right,Label Right,Comment Right,Type Right,Residual True Positive,Evaluation Result
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""naris""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000282,=,1.0,http://human.owl#NCI_C33178,"[""Nostril""]",[],"[""owl:Class""]",false,false positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""lacrimal bone""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001486,=,1.0,http://human.owl#NCI_C32906,"[""Lacrimal_Bone""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""hand digit 3""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000456,=,1.0,http://human.owl#NCI_C52836,"[""Hand_Digit_3""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""sacral vertebra 2""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001435,=,0.0,http://human.owl#NCI_C33499,"[""S2_Vertebra""]",[],"[""owl:Class""]",true,false negative
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""longus colli""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002341,=,1.0,http://human.owl#NCI_C52959,"[""Longus_Colli""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""cervical vertebra 1""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001421,=,0.0,http://human.owl#NCI_C32239,"[""C1_Vertebra""]",[],"[""owl:Class""]",true,false negative
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""right adrenal gland""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000719,=,1.0,http://human.owl#NCI_C49325,"[""Right_Adrenal_Gland""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""urinary bladder mucosa""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001692,=,1.0,http://human.owl#NCI_C32205,"[""Bladder_Mucosa""]",[],"[""owl:Class""]",true,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""thymus medulla""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000771,=,1.0,http://human.owl#NCI_C33775,"[""Thymus_Medulla""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""splenius""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002382,=,1.0,http://human.owl#NCI_C53177,"[""Splenius""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""tympanic ring""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001225,=,1.0,http://human.owl#NCI_C32547,"[""External_Abdominal_Ring""]",[],"[""owl:Class""]",false,false positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""superior suprarenal artery""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002057,=,1.0,http://human.owl#NCI_C52736,"[""Superior_Suprarenal_Artery""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""vagina""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000394,=,1.0,http://human.owl#NCI_C12407,"[""Vagina""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""cutaneous trunci""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002285,=,1.0,http://human.owl#NCI_C52901,"[""Cutaneous_Trunci""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""abdomen skin""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000523,=,1.0,http://human.owl#NCI_C52758,"[""Abdominal_Skin""]",[],"[""owl:Class""]",true,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""vomeronasal organ sensory epithelium""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001328,=,1.0,http://human.owl#NCI_C13145,"[""Epithelial_Receptor_Cell""]",[],"[""owl:Class""]",false,false positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""pallidum""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000889,=,1.0,http://human.owl#NCI_C33657,"[""Sulcus_Terminalis""]",[],"[""owl:Class""]",false,false positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""cervical lymph node""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000736,=,1.0,http://human.owl#NCI_C32298,"[""Cervical_Lymph_Node""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""thoracic aorta""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002569,=,1.0,http://human.owl#NCI_C33766,"[""Thoracic_Aorta""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""popliteal vein""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002197,=,1.0,http://human.owl#NCI_C33339,"[""Popliteal_Vein""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""thoracic vertebra 9""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001446,=,1.0,http://human.owl#NCI_C33731,"[""T9_Vertebra""]",[],"[""owl:Class""]",true,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""lesser omentum""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001623,=,1.0,http://human.owl#NCI_C32981,"[""Lesser_Omentum""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""dorsal nasal artery""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001945,=,1.0,http://human.owl#NCI_C52983,"[""Dorsal_Nasal_Artery""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""renal pyramid""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001654,=,1.0,http://human.owl#NCI_C12886,"[""Renal_Pyramid""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""sweat gland""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000150,=,1.0,http://human.owl#NCI_C33712,"[""Sweat_Gland""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""nerve""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000217,=,1.0,http://human.owl#NCI_C12466,"[""Nerve""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""gluteus maximus""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002309,=,1.0,http://human.owl#NCI_C52560,"[""Gluteus_Maximus""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""atrioventricular bundle""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002576,=,1.0,http://human.owl#NCI_C32160,"[""Atrioventricular_Bundle""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""superior vena cava""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000481,=,1.0,http://human.owl#NCI_C12816,"[""Superior_Vena_Cava""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""frontal cortex""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000905,=,0.0,http://human.owl#NCI_C12352,"[""Frontal_Lobe""]",[],"[""owl:Class""]",true,false negative
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""lateral ventricle choroid plexus epithelium""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000962,=,1.0,http://human.owl#NCI_C49248,"[""Choroid_Plexus_Epithelium_of_the_Lateral_Ventricle""]",[],"[""owl:Class""]",true,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""nasal septum""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000285,=,1.0,http://human.owl#NCI_C33160,"[""Nasal_Septum""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""male urogenital muscle""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000541,=,1.0,http://human.owl#NCI_C33048,"[""Male_Breast""]",[],"[""owl:Class""]",false,false positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""upper back bone""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000506,=,1.0,http://human.owl#NCI_C12983,"[""Bone_of_the_Upper_Extremity""]",[],"[""owl:Class""]",false,false positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""scapula""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001330,=,1.0,http://human.owl#NCI_C12783,"[""Scapula""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""jejunum""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000340,=,1.0,http://human.owl#NCI_C12388,"[""Jejunum""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""anterior tibial artery""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002574,=,1.0,http://human.owl#NCI_C12825,"[""Anterior_Tibial_Artery""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""trigeminal V nucleus""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001028,=,0.0,http://human.owl#NCI_C12807,"[""Trigeminal_Nucleus""]",[],"[""owl:Class""]",true,false negative
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""parabrachial nucleus""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001019,=,1.0,http://human.owl#NCI_C32878,"[""Intralaminar_Nucleus""]",[],"[""owl:Class""]",false,false positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""left lung alveolar system""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001775,=,1.0,http://human.owl#NCI_C41267,"[""Subsegmental_Bronchus_of_Left_Lung""]",[],"[""owl:Class""]",false,false positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""pituitary gland""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000176,=,1.0,http://human.owl#NCI_C12399,"[""Pituitary_Gland""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""elbow""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000036,=,1.0,http://human.owl#NCI_C32628,"[""Forearm""]",[],"[""owl:Class""]",false,false positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""efferent duct epithelium""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001734,=,1.0,http://human.owl#NCI_C49220,"[""Efferent_Ductule_Epithelium""]",[],"[""owl:Class""]",true,true positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""prepositus hypoglossal nucleus""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001023,=,1.0,http://human.owl#NCI_C32756,"[""Hypoglossal_Triangle""]",[],"[""owl:Class""]",false,false positive
anatomy_track,mouse-human-suite,MatcherHTTPCall,"[""nucleus of trapezoid body""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001018,=,1.0,http://human.owl#NCI_C32220,"[""Body_of_the_Spermatozoon""]",[],"[""owl:Class""]",false,false positive
